date,value,description
3-25-2023,-9.12,TARGET 00027169 LITTLETON CO
3-24-2023,-12.14,WENDY'S # 9067 THORNTON CO
3-24-2023,-32.5,SUPERCUTS 81632 THORNTON CO
3-23-2023,-23.86,MURPHY7492ATWALMART DENVER CO
3-22-2023,-9.85,WAL-MART #4567 THORNTON CO
3-20-2023,-262.49,INTUIT *TURBOTAX CL.INTUIT.COMCA
3-20-2023,-4.86,MURPHY7492ATWALMART DENVER CO
3-20-2023,-21.53,WAL-MART #4567 THORNTON CO
3-19-2023,-27.07,MURPHY7492ATWALMART DENVER CO
3-18-2023,-7.4,WAL-MART #4567 BRIGHTON CO
3-15-2023,-31.5,THORNTON REC CENTER 303-538-7233 CO
2-28-2023,-8.56,MSFT * E0400M83GM 800-6427676 WA
